MQ2,MQ3,MQ4,MQ6,MQ7,MQ8,MQ135,target
0.88503,0.7379,1.65155,0.55802,1.18416,2.17594,1.24204,azotemic-test
0.88453,0.73715,1.65068,0.55814,1.18541,2.17682,1.24179,azotemic
0.8849,0.73652,1.64668,0.55714,1.18516,2.17657,1.24366,azotemic
0.88315,0.73702,1.64993,0.55677,1.18566,2.17644,1.24241,azotemic
0.8824,0.73765,1.64768,0.55852,1.18654,2.17507,1.23916,azotemic
0.88178,0.7369,1.65043,0.55802,1.18479,2.17769,1.24316,azotemic-test
0.88003,0.73665,1.64993,0.55677,1.18379,2.17444,1.24166,azotemic
0.88053,0.7334,1.64993,0.55827,1.18366,2.17557,1.24229,azotemic
0.87878,0.73465,1.65043,0.55814,1.18454,2.16269,1.24066,azotemic
0.87853,0.73327,1.6498,0.55752,1.18316,2.17394,1.24079,azotemic-test
0.87853,0.73352,1.64505,0.55802,1.18216,2.17444,1.24204,azotemic
0.87703,0.73315,1.64868,0.55814,1.18291,2.17219,1.23966,azotemic
0.87853,0.73352,1.64993,0.55702,1.18441,2.17494,1.24104,azotemic
0.8744,0.73465,1.65105,0.55689,1.18229,2.17319,1.24004,azotemic
0.87828,0.73377,1.6498,0.55714,1.18254,2.17532,1.24079,azotemic
0.8779,0.73377,1.65018,0.55789,1.18354,2.17382,1.24016,azotemic
0.87728,0.73377,1.65055,0.55702,1.18304,2.17219,1.24054,azotemic
0.87653,0.73265,1.6508,0.55827,1.17916,2.17407,1.24029,azotemic
0.87353,0.73065,1.64768,0.55777,1.18104,2.17094,1.23791,azotemic
0.87253,0.72965,1.64768,0.55702,1.17754,2.16657,1.23779,azotemic-test
0.87078,0.72977,1.6493,0.55702,1.17754,2.16982,1.23729,azotemic
0.8704,0.72902,1.64718,0.55864,1.17654,2.16944,1.23704,azotemic
0.87003,0.72877,1.64705,0.55727,1.17679,2.16807,1.23504,azotemic
0.8699,0.72877,1.64643,0.55852,1.17866,2.17144,1.23529,azotemic
0.86903,0.72865,1.64555,0.55752,1.17841,2.17169,1.23516,azotemic
0.8679,0.7289,1.64843,0.55739,1.17954,2.17294,1.23541,azotemic
0.8704,0.72977,1.64968,0.55677,1.17716,2.17419,1.23629,azotemic
0.86978,0.72852,1.6498,0.55777,1.18016,2.17394,1.23816,azotemic
0.86803,0.73015,1.64505,0.55827,1.17979,2.17307,1.23604,azotemic
0.86603,0.7299,1.64968,0.55639,1.17541,2.17182,1.23666,azotemic
0.86665,0.7289,1.6483,0.55739,1.17704,2.17282,1.23554,azotemic-test
0.86478,0.7279,1.64768,0.55827,1.17691,2.17119,1.23529,azotemic
0.86253,0.7274,1.6468,0.55639,1.17416,2.17107,1.23541,azotemic
0.86003,0.72615,1.6478,0.55814,1.17291,2.16782,1.23479,azotemic
0.85553,0.7249,1.64618,0.55739,1.17154,2.16682,1.22979,azotemic
0.8549,0.72377,1.64343,0.55739,1.17104,2.16694,1.23216,azotemic
0.8529,0.72127,1.6453,0.55752,1.16541,2.16644,1.23154,azotemic
0.85253,0.7229,1.63918,0.55802,1.16754,2.16332,1.23329,azotemic
0.84978,0.72127,1.64118,0.55727,1.16529,2.16594,1.23129,azotemic
0.8479,0.72015,1.64168,0.55827,1.16554,2.16207,1.23016,azotemic-test
0.84603,0.7194,1.63905,0.55777,1.16416,2.16119,1.23116,azotemic
0.84478,0.71877,1.64093,0.55714,1.16204,2.15994,1.23029,azotemic
0.84278,0.71677,1.63918,0.55627,1.16116,2.15982,1.22866,azotemic
0.84128,0.71552,1.63893,0.55839,1.16004,2.15994,1.22816,azotemic
0.84028,0.71502,1.63742,0.55839,1.15904,2.15794,1.22679,azotemic
0.8389,0.71477,1.63805,0.55727,1.15616,2.15644,1.22666,azotemic
0.83815,0.71377,1.62792,0.55789,1.15616,2.15932,1.22766,azotemic
0.83603,0.71327,1.63642,0.55802,1.15541,2.15582,1.22754,azotemic
0.83565,0.71327,1.6353,0.55814,1.15416,2.15769,1.22666,azotemic
0.83303,0.71002,1.63305,0.55702,1.15454,2.15694,1.22379,azotemic
0.83315,0.71165,1.63355,0.55677,1.15204,2.15657,1.22541,azotemic
0.83165,0.71027,1.63405,0.55677,1.15204,2.15469,1.22404,azotemic
