MQ2,MQ3,MQ4,MQ6,MQ7,MQ8,MQ135,target
0.7974,0.8259,1.27154,0.55077,0.72165,1.96731,1.00941,healthy
0.79977,0.82278,1.27529,0.55077,0.7209,1.96806,1.00803,healthy
0.80102,0.8284,1.27279,0.55089,0.72315,1.96856,1.00791,healthy
0.79915,0.82578,1.27329,0.55064,0.72277,1.97106,1.00791,healthy
0.80127,0.8264,1.27466,0.55027,0.7219,1.96418,1.00928,healthy
0.79715,0.82853,1.27716,0.55102,0.72377,1.96906,1.00803,healthy
0.80127,0.82703,1.27466,0.55077,0.72177,1.96919,1.01016,healthy
0.8029,0.82903,1.27791,0.55064,0.72302,1.96994,1.01091,healthy
0.80465,0.82703,1.27566,0.55052,0.72277,1.96981,1.00941,healthy
0.80515,0.8289,1.27504,0.55089,0.72465,1.97094,1.00928,healthy
0.79815,0.82615,1.27516,0.55102,0.72465,1.97369,1.00903,healthy
0.80665,0.82828,1.27804,0.55014,0.72377,1.96969,1.00878,healthy
0.80565,0.82665,1.27529,0.55027,0.7249,1.97456,1.00966,healthy
0.80877,0.82865,1.27754,0.55052,0.72465,1.97519,1.01178,healthy
0.80765,0.82903,1.27866,0.55089,0.72527,1.97269,1.00903,healthy
0.80927,0.82715,1.27654,0.55064,0.72365,1.97331,1.01178,healthy
0.80927,0.82878,1.27941,0.55052,0.72427,1.97019,1.00928,healthy
0.80802,0.82653,1.27654,0.55039,0.72402,1.97506,1.01191,healthy
0.80902,0.82853,1.27891,0.55052,0.7244,1.96844,1.01016,healthy
0.80815,0.8264,1.27629,0.55064,0.72352,1.97419,1.01191,healthy
0.81065,0.82815,1.27891,0.55064,0.72377,1.97219,1.01216,healthy
0.8109,0.8284,1.27616,0.55052,0.72315,1.97019,1.00966,healthy
0.80952,0.8264,1.27516,0.55014,0.72365,1.97406,1.01153,healthy
0.81152,0.82765,1.27854,0.55027,0.72277,1.96906,1.00878,healthy
0.8104,0.8274,1.27191,0.55064,0.72477,1.97094,1.01228,healthy
0.81202,0.8259,1.27604,0.55064,0.72327,1.96894,1.00991,healthy
0.8114,0.82778,1.27729,0.55077,0.72215,1.96844,1.01028,healthy
0.81077,0.82565,1.27516,0.55052,0.72127,1.96994,1.01103,healthy
0.8099,0.8264,1.27579,0.55039,0.72227,1.96794,1.00916,healthy
0.81102,0.82528,1.27466,0.55027,0.72065,1.97181,1.01041,healthy
0.81002,0.82603,1.27529,0.55064,0.72152,1.96731,1.00791,healthy
0.81165,0.82665,1.27691,0.55064,0.7194,1.96656,1.00791,healthy
0.81027,0.82628,1.27404,0.55052,0.72027,1.97144,1.00978,healthy
0.81152,0.82628,1.27654,0.55039,0.72002,1.96581,1.00791,healthy
0.81177,0.82615,1.27604,0.55089,0.72052,1.96656,1.00766,healthy
0.81152,0.82715,1.27729,0.55064,0.72015,1.97119,1.01066,healthy
0.81327,0.8259,1.27641,0.55064,0.7189,1.97081,1.00991,healthy
0.8119,0.8249,1.27354,0.55077,0.71927,1.97106,1.01053,healthy
0.81402,0.8264,1.27666,0.55039,0.71865,1.96894,1.00941,healthy
0.8109,0.82415,1.27329,0.55102,0.71927,1.96969,1.00966,healthy
0.8124,0.82415,1.27316,0.55064,0.71977,1.97106,1.00778,healthy
0.81415,0.82403,1.27341,0.55039,0.7179,1.96581,1.00778,healthy
0.8124,0.8249,1.27291,0.55077,0.71927,1.96956,1.00791,healthy
0.81515,0.82378,1.27204,0.55014,0.71665,1.97006,1.00791,healthy
0.81327,0.82528,1.27466,0.55064,0.7189,1.97031,1.00828,healthy
0.8144,0.82365,1.27204,0.55039,0.71915,1.96706,1.00678,healthy
0.81702,0.82478,1.27329,0.55039,0.71802,1.97094,1.01028,healthy
0.81515,0.82565,1.27579,0.55089,0.71902,1.96806,1.00741,healthy
0.81665,0.82503,1.27541,0.55064,0.7174,1.97031,1.00891,healthy
0.81377,0.82553,1.27504,0.55089,0.70877,1.97019,1.00891,healthy
0.81715,0.82578,1.27004,0.55027,0.7174,1.96656,1.00941,healthy
0.81727,0.82503,1.27579,0.55052,0.71715,1.96493,1.00716,healthy
0.81502,0.8254,1.27279,0.55139,0.71802,1.97031,1.00766,healthy
0.81715,0.82528,1.27579,0.55077,0.71802,1.96518,1.00703,healthy
0.81665,0.8234,1.27304,0.55064,0.71677,1.97019,1.00941,healthy
0.81602,0.82515,1.27579,0.55089,0.71852,1.96331,1.00766,healthy
0.81852,0.8254,1.27566,0.55064,0.7184,1.96356,1.00728,healthy
0.81715,0.82528,1.27454,0.55014,0.71752,1.97044,1.01016,healthy
0.81928,0.82578,1.27579,0.55014,0.71665,1.96719,1.00966,healthy
0.81627,0.82303,1.27229,0.55052,0.71627,1.96956,1.00966,healthy
0.81865,0.82228,1.27266,0.54989,0.71615,1.96919,1.00903,healthy
0.81928,0.82453,1.27491,0.55052,0.71615,1.96456,1.00491,healthy
0.81928,0.82478,1.27441,0.55052,0.71527,1.96318,1.00853,healthy
0.81802,0.8229,1.27166,0.55089,0.71677,1.96831,1.00903,healthy
0.8189,0.82315,1.27441,0.55102,0.7164,1.96368,0.99103,healthy
0.81815,0.82215,1.27104,0.55027,0.71615,1.96506,1.00866,healthy
0.82028,0.82415,1.27366,0.55114,0.71565,1.96293,1.00066,healthy
0.81865,0.82378,1.27366,0.55027,0.7164,1.96356,1.00591,healthy
0.82015,0.82328,1.27204,0.55052,0.71715,1.96581,1.00566,healthy
0.82028,0.82453,1.27404,0.55014,0.7164,1.96318,1.00616,healthy
0.8194,0.82228,1.27091,0.55027,0.71527,1.96731,1.00416,healthy
0.8209,0.82328,1.27291,0.55052,0.71415,1.96256,1.00628,healthy
0.82078,0.8219,1.27191,0.55064,0.71427,1.96181,1.00603,healthy
0.81953,0.82153,1.26879,0.55052,0.71477,1.96631,1.00828,healthy
0.82178,0.8219,1.27191,0.55102,0.71452,1.96093,1.00503,healthy
0.82115,0.82115,1.26929,0.55064,0.71277,1.96531,1.00741,healthy
0.8194,0.82265,1.27116,0.55064,0.71415,1.96468,1.00478,healthy
0.81777,0.82065,1.26841,0.55039,0.71377,1.96143,1.00503,healthy
0.8214,0.82165,1.26941,0.55064,0.71277,1.96056,0.99316,healthy
0.82278,0.82315,1.27179,0.55052,0.71427,1.96393,1.00566,healthy
0.8229,0.82115,1.27041,0.55052,0.71227,1.96531,1.00703,healthy
0.8209,0.82028,1.26766,0.55039,0.71302,1.96406,1.00678,healthy
0.8199,0.82153,1.26866,0.55064,0.71252,1.95968,1.00416,healthy
0.8204,0.82065,1.26716,0.55039,0.7124,1.96368,1.00541,healthy
0.82228,0.82215,1.26979,0.55089,0.7114,1.95856,1.00266,healthy
0.8194,0.82203,1.26929,0.55114,0.71177,1.95868,1.00366,healthy
0.82078,0.8199,1.26604,0.55052,0.70927,1.96181,1.00566,healthy
0.82278,0.8219,1.26904,0.55077,0.70952,1.95381,1.00478,healthy
0.81277,0.81965,1.26579,0.55027,0.7109,1.96306,1.00591,healthy
0.82303,0.82103,1.26891,0.55014,0.7099,1.95843,1.00516,healthy
0.8219,0.82053,1.26666,0.55052,0.71127,1.95843,1.00466,healthy
0.8214,0.81965,1.26579,0.55052,0.71102,1.95906,1.00628,healthy
0.82203,0.8199,1.26779,0.55052,0.70915,1.96293,1.00566,healthy
0.82328,0.8194,1.26566,0.55052,0.70852,1.96231,1.00616,healthy
0.82203,0.82078,1.26791,0.55064,0.7099,1.95968,1.00316,healthy
0.82353,0.81727,1.26529,0.55064,0.7079,1.95981,1.00541,healthy
0.82315,0.81852,1.26454,0.55027,0.7079,1.96131,1.00291,healthy
0.82265,0.82015,1.26441,0.55027,0.7094,1.95643,1.00253,healthy
0.82178,0.81928,1.26404,0.55064,0.70927,1.95668,1.00316,healthy
0.8239,0.8184,1.26491,0.55014,0.70765,1.95706,1.00291,healthy
0.82215,0.81865,1.26366,0.55089,0.70927,1.96068,1.00378,healthy
0.82515,0.81978,1.26554,0.55052,0.70852,1.96206,1.00528,healthy
0.82128,0.82078,1.26654,0.55052,0.70927,1.96168,1.00403,healthy
0.8234,0.81827,1.26654,0.55052,0.70777,1.95756,1.00503,healthy
0.82465,0.82065,1.26641,0.55039,0.70777,1.95506,1.00228,healthy
0.8229,0.81815,1.26316,0.55027,0.70765,1.95881,1.00466,healthy
0.82165,0.82003,1.26616,0.55052,0.70927,1.95656,1.00278,healthy
0.8254,0.8179,1.26341,0.55039,0.70752,1.95731,1.00528,healthy
0.82415,0.8194,1.26366,0.55002,0.7094,1.95656,1.00266,healthy
0.82428,0.81865,1.26341,0.55052,0.70865,1.95493,1.00516,healthy
0.82653,0.81877,1.26629,0.55052,0.70852,1.95643,1.00291,healthy
0.82315,0.81965,1.26579,0.55027,0.70977,1.95606,1.00278,healthy
0.82565,0.81877,1.26404,0.55102,0.71002,1.96193,1.00578,healthy
0.82728,0.82015,1.26629,0.55102,0.70852,1.95606,1.00278,healthy
0.82553,0.81802,1.26304,0.55077,0.70852,1.96143,1.00416,healthy
0.8279,0.81978,1.26616,0.55064,0.70852,1.95656,1.00341,healthy
0.8269,0.81715,1.26341,0.55064,0.70827,1.96018,1.00578,healthy
0.82778,0.8194,1.26479,0.55052,0.70815,1.95656,1.00378,healthy
0.82703,0.81765,1.26441,0.55014,0.70902,1.96093,1.00503,healthy
0.8289,0.81802,1.26579,0.55002,0.7094,1.95643,1.00416,healthy
0.8274,0.8174,1.26304,0.55039,0.7089,1.96056,1.00603,healthy
0.82965,0.81915,1.26591,0.55077,0.7099,1.95631,1.00428,healthy
0.82328,0.8164,1.26329,0.55064,0.70977,1.95556,1.00553,healthy
0.83078,0.82015,1.26704,0.55027,0.71177,1.95693,1.00441,healthy
